cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,jailed,left_active_set,left_heights,joined_active_set,joined_heights,jailed_during_period,jailed_time,jailed_block,jailed_reason
cosmosvaloper1apw85kwwl72vvl48fwtchd9vdrpvcfpgpjzr7w,cosmos1apw85kwwl72vvl48fwtchd9vdrpvcfpgyxkkja,w3coins,2MceFeI3tWD0++JA9aPJFrsh2la0sZeT8JQbonaf+fI=,2C4ECDAC00D7B1971B3786F85A36B9CBD4BA02C2,cosmosvalcons1938vmtqq67cewxehsmu95d4ee02t5qkzec5rrl,False,True,False,,False,,False,,,
cosmosvaloper1apac0g5s88pfjvlgjqjnr0kdpkpmhx8pne4608,cosmos1apac0g5s88pfjvlgjqjnr0kdpkpmhx8pkdp0r5,banana 🍌,MR6OhcY5zChPq3fDTnnMY1qlfvEN44peau3bVMte5tw=,A1023B41F58BEB73B90F329394D228A3CC57281D,cosmosvalcons15yprks04304h8wg0x2fef53g50x9w2qa3c0hcd,True,False,False,,False,,False,,,
cosmosvaloper1az23v8l4kghaewrycuaw2kmz36urak33g6wshe,cosmos1az23v8l4kghaewrycuaw2kmz36urak33dw69m2,AM Solutions 🪐,fy2vORop81PKpzcdVZGUe4LR332DdSRTA/CdtYOtFMI=,B6DFCED2BE72FE614B83B2E9B03E345FD9DE8E13,cosmosvalcons1km0ua547wtlxzjurkt5mq035tlvaarsnn5mjff,False,True,False,,False,,False,,,
cosmosvaloper1arjwkww79m65csulawqngr7ngs4uqu5hr3frxw,cosmos1arjwkww79m65csulawqngr7ngs4uqu5hx9ak2a,apple 🍎,pjrsvzGpsIdotHc+ZYbwwVXb3ToJL6vDFMdsEX0D87A=,AE84D29EC8E3BBCF123B48C702DAA982EEC2830B,cosmosvalcons146zd98kguwau7y3mfrrs9k4fsthv9qct9mdnx0,True,False,False,,False,,False,,,
cosmosvaloper1ax0alv7jx78mkhvf5jaxq322qyr82rz7k8dc00,cosmos1ax0alv7jx78mkhvf5jaxq322qyr82rz7nnedru,StakeWithUs,9LDJ8ZOJ55+hZ8NbAY5kc7Ne1YP/+mwT8VAqcdTwfz8=,F2079C82B950A678933E425B386A305FB2B11902,cosmosvalcons17greeq4e2zn83ye7gfdns63st7etzxgzfgy67a,False,True,False,,False,,False,,,
cosmosvaloper1atxvrzmkwcvvtp80erqgdtw3z45q4mfk49v52x,cosmos1atxvrzmkwcvvtp80erqgdtw3z45q4mfks3cpx4,Chainflow,i4rdrR3JKHeOx9eZ86WBv6aNgFTGdRIby1FXax3qVi8=,FF11342EC78FA38376F228A89D1D92F683C6DDC8,cosmosvalcons1lugngtk8373cxahj9z5f68vj76pudhwgn9jnrs,False,True,False,,False,,False,,,
cosmosvaloper1ankp9rwxatv8nuuetykls7lvl3safnsfmr7jyx,cosmos1ankp9rwxatv8nuuetykls7lvl3safnsf7h28g4,swu,ZV/o2Xvg+3rlELPghNOKM4Ki7fNQSaiDpDXJefe3Bpo=,9129D5DA22C60EC6FBD24434CA654B4972C2E29D,cosmosvalcons1jy5atk3zcc8vd77jgs6v5e2tf9ev9c5ahaef4v,False,True,False,,False,,False,,,
cosmosvaloper1auzskd3rvfc9wnae37wmhl0a4547j06wjwfw5j,cosmos1auzskd3rvfc9wnae37wmhl0a4547j06wh6amcp,Chiter in Cosmos ⚛,MRGNeAaLfjtGwHwxppDGWyld6/9OQLFd3PI9yDr/Ej0=,7EB768D77B477F8EFF758154C7DF2933706ABD44,cosmosvalcons106mk34mmgalcalm4s92v0hefxdcx402y3vqkey,True,False,False,,False,,False,,,
cosmosvaloper1aaf5wukr22qcl2cpk9ma9m4cwpq94ck4qedejr,cosmos1aaf5wukr22qcl2cpk9ma9m4cwpq94ck49dev7s,Easy2Stake,iyXbB3X6HAAHIFAtbt7EZ0clPChMWpnnlY6HT+JLhTQ=,D0C11B92AEDE5E8B6734460E81E058BD61852E2A,cosmosvalcons16rq3hy4wme0gkee5gc8grczch4sc2t3299dena,True,False,False,,False,,False,,,
cosmosvaloper1alm6qkf5w3rlq3y3pr3klwte5u2m50x6uxdzc3,cosmos1alm6qkf5w3rlq3y3pr3klwte5u2m50x6ejeh5z,in3s.com,w72G0WEhxUJ4NN75WkYubJSSDMpxCkAbshgg31vSqvE=,C1A08A297C469B4FD54A5FDC3B9D4A364D5CED6A,cosmosvalcons1cxsg52tug6d5l422tlwrh822xex4emt2yvmlgt,False,True,False,,False,,False,,,
